text,parent_text,tox_codes_oc,label_oc,tox_codes_ic,label_ic
My signiture links to my current talk page; I don't know how you are getting to the old one. ,I am an editor; I can make decisions. I don't need permission. ,[0. 0. 0.],0,[0. 0. 0.],0
"Haven't proven anything? Hmm...
http://www.youtube.com/watch?v=qhskpjFXaRE
Now I have. Th-th-tha-th-tha-th-tha-that's all, folks.  ","You're the one being very immature. This is not your private page, nor have you proven anything. I suggest you read Wikipedia's policies before you get banned from making edits. ",[0. 0. 1.],0,[0. 1. 1.],1
" ""...and beware of the penguins."" -   - !",Shame on you. You forgot the 10 nematodes that General Ida N. Care hired. ,[0. 0. 0.],0,[0.5 0.  0. ],0
"If you care to change it, feel free. ",But wouldn't it still be better with the route names first?   | e-mail),[0. 0. 0.],0,[0. 0. 0.],0
"Yes thanks Derek, and you? Have a look at this link, seems to be close to definitive (official sleevenotes, annotated with corrections by a fan) - http://www.thewho.net/linernotes/LiveAtLeeds.htm ","Bugger, there goes my fiver then. You again, Kingboy, hope you are keeping well, old fruit.",[0. 0. 0.],0,[0. 0. 0.],0
"As long as you seem to be intrested in being silly, why not redirect pape to catholic   18:03 15 Jun 2003 (UTC)", then perhaps shaman should be redirected to shamanism? In the same way that bisexual redirects to bisexuality... ,[0.  0.  0.5],0,[1. 1. 1.],1
"Ach, darn. Does no one but creationists criticise Dawkins? ","Are you trying to be funny? ISCID is just a creationist outfit, with Dembski and his croonies doing their cargo cult science. At least the ""Answers in Genesis"" guys are open about it. ",[0. 0. 0.],0,[0. 0. 0.],0
The chart looks very nice now. ,"Sorry, I was experimenting with adding a red background.  Thanks to 119 for reverting my edit. ",[0. 0. 0.],0,[0. 0. 0.],0
"No, it doesn't count.  Absence of evidence is not evidence of absence.   ","I've been there couple of times and I only heard Russian spoken by Russians (and people from other CIS countries). This is first hand source, does it count? P It's not a big deal anyway. ",[0. 0. 0.],0,[0. 0. 0.],0
"Please, stop trying to annoy me: please, stop writing nonsense on my talk page. — ",What is Weasel Talk for $1000 Alex? I believe you've found the Daily Double!,[1. 0. 0.],0,[0.5 0.  1. ],0
The term dates from the late 1860s. See Homosexual#Etymology. It had been around for an entire generation at the time of Wilde's trial.   | ,"FYI, I believe that ""homosexual"" was also coined after Wilde's death, so the issue of ""gay"" being more anachronistic is moot. -",[0. 0. 0. 0. 0. 0.],0,[0. 0. 0. 0. 0. 0.],0
"Try another wiki, this is an encyclopedia of reliable facts and we can't include random crap  ","Please explain to us /why/ you did that? I was looking for ""pedobear"" and it's not even in the 4chan article. ",[1. 0. 0.],0,[1. 1. 1.],1
"Some idiot using socks, *rolls eyes*  ",Take it easy guys ) This article still needs a lot of expansion and some re-organization. Keep your energies for when those come around... ,[1. 1. 1.],1,[1. 1. 1.],1
"I disagree. Because then you'd have to put ""Care not cash"" in as well. I think the same-sex wedding stuff belong under Social Policy. "," Actually, maybe we should stick the gay wedding stuff in that section? ",[0. 0. 0.],0,[0. 0. 1.],0
Looks like every school kid in the UK has hit school computers at the end of the day for some page blanking and nonsense editing ,"Have I done something wrong, your publically talk to me and privately talking to the Moon? ",[0. 0. 0.],0,[0.  1.  0.5],0
He looks like a sock-puppet to me.," He created his User page with ""I represent the UK organisation Republic which can be found at www.republic.org.uk "". Does this mean he has come to Wikipedia with an object in mind? Seems like it. ",[1. 0. 1.],1,[0. 0. 0.],0
