id,text,parent,label,api
100030037.40314.40314,"BTW, I see no ""attack"" here.  What I see is something I might describe as ""a group of editors discussing problematic editing, and asking for a change in behavior"".  It's seeing this as an ""attack"" and making things into a personal battle that is the ''problem'' here.  More of the same is ''not the solution''.   ",I also feel its important for StuRat to have his proper say on the proposed guidelines. He has not been able to so far as hes busy defending himself. Im sure that if Stu Rat has a part to play in the guidelines then he will have some ownerhip of them and is likely to resplct them (as I will have to  since I have rewritten a large part of them)8-|,0,0.1323
100104685.102437.102437,I realise... I just want to urge caution and a thought to the impact when using templates. -  //WRE),"A main reason this project was started was to ''reduce'' the amount of templates/boilerplates used out there so people didn't get all confused over what the hell this one template is trying to tell me, and at what level.  ",0,0.0314
100189373.112824.112824,"I should have stressed that this should be a time period that people are actually notified about for a specific article, not a ""this random article has been sitting unreferenced for two months so I can kill it now."" ","I'd go for that. (By the way, not all deletionists are cut out of the same block. ) ) ",0,0.2229
100203140.40393.40393,Thanks to Lysy for shortening and copy editing. Concur with Yannismarou's comments. ," (edit conflict with Piotrus) I agree with the shortening. My opinion is that the SS content of the current section must be the result of a consensus among the interested editors. I hope that after Lysy's intervention the editors will have the chance to focus on the other problems of the article, in order to keep GA status and, possibly, to go for FA promotion.",0,0.0559
100214962.61084.61084," I like the additional info in the info box. It displays fine in IE 7 as well. There are slight formatting problems, but nothing that cannot be dealt with by asking a graphics guru to come by and help.
 By the way, both of you have now reverted three times, so let's let this one settle a bit for others to comment. ","The larger box displays fine in Mozilla Firefox. If you have trouble with another browser, reveal what it is - or fix it yourself without deleting other people's work. If you have display problems in Mozilla Firefox, then you need to adjust your computer settings. ",0,0.0539
100284697.24699.24699,"This last statement is absolutely meaningless. If you take anything that Al Franken said about
""Rush Limbaugh"" and replace him with ""Rosa Parks"" it would be all-too-clear how similar to David Dukes Mr Franken is. ","I disgree, Feminazi is a clear instance of hate speech, though he doesnt use it any more.  But if one replaced liberal with Jew in Rush's moronic diatribes, it would be all-too-clear how similar to Joseph Goebbels he is.",0,0.1664
100303320.15279.15279, That's what I thought. Just checking before I went ahead and removed it.    | ," Nope, and I think we should remove it... ",0,0.0409
100342095.56907.56907, There was a reference to this before. One from the subsection itself should serve. ,"No discussion on this? We need a non-self-referential source, i.e. Luther himself is an not adequate citation for 'many scholars characterize these writings as anti-Semitic.' I'm inclined to move the above # 9 to a {{fact}} ... ",0,0.0613
100406228.2448.2448,"I've been bold.  I've changed the text to ''attribution needed'', in keeping with ''citation needed'. -  ",Or how about a simple ' ''unattributed'' '?  This would flag unattributed opinions to editors and readers alike.  And it's short. - ,0,0.0413
100415470.25377.25377,"Many thanks,  — your intervention (particularly timely here/now as  is on a Wikibreak) is always welcome by me! I'll follow that link and am looking forward to putting my new skills to good use (and, should I run into difficulties, shall seek you out for further advice). ''  ''","Hi, Deborahjay; I thought I'd butt in and say that I find WP:CITET useful for adding refs; I just copy the relevant citation type and paste it into the article, and fill out the fields. ",0,0.0695
10060667.443.443," Don't be silly; this has been done before, maybe in November. They probably found loads more mistakes. See Template talk:Active Wiki Fixup Projects. ","Ok if you work on ""with"" I'll have a go with ""on"" ), I was surprised how few repeated words there are in wikipedia, considering how big it is. Cheers,  ",1,0.369
10062627.35114.35114,"No problem.  Do you think that I should leave the discussion in both places (it seems hardly worth it in this case, but it would be useful to know in case I do it again where it matters)), or delete one?  If so, which? ","My error, I didn't mean to suggest foul play. And do I tend to think that others are as clueless finding their way about as I am,.. ",0,0.0582
100639658.3299.3299,"Quite honestly, I don't see a point in investigating where the image came from. Even if Fisss claims he's the author, I won't trust him. He has uploaded hundreds of images with not just missing, but deliberatly falsified licenses. At this point I think it's safe to assume that every image he uploads is stolen unless there's a clear indication that it's legit. ",Please check . Do you by any chanse know there the image came from? ,0,0.1714
100665372.15739.15739,Silly is a big understatement.,"It was a really silly opening, and to think that it's acceptable to put up for a FA is ... annoying. ",0,0.4368
100676145.18527.18527,"Beautiful, this is what I wanted to hear. I don't have to comment on this, as your understanding of intellectual property and its use is clearly reflected from this statement. You have just slain the whole world of reference and citations. Please don't remove your statement as it would be used for further references. ","The references and Material you cut and paste from your references web sites are copy right protected and it is against the policy of Wikipedia Copy right policies, e.g. ""© Copyright Anti-Ahmadiyya Movement in Islam, All rights reserved "" is one of your reference site that you edited in Mirza Ghulam Ahmad Artical. Pls see the copy right policies of Wikipedia ",0,0.2305
100690435.92909.92909,"I suspect the new editor was finally intimidated enough by personal attacks and allegations to leave (who can blame them).  Another one bites the dust, I guess.  ''' '''","Hi, I'm a few days behind.  Had a very bad cold this week.  The standard place to report suspected sockpuppets is WP:SSP. ''''",0,0.38809999999999995
100716101.354.354,"This really deserves to be mentioned explicitly in the main article. I've added a ""Triva"" item to that effect.  ",See Talk:Faith Lehane#Faith's Last Name (same applies for both Faith and Kendra)  ,0,0.0637
100724335.30498.30480,Woops sorry at exactly the same time a spammer was advertising his blog on the same article ). I didn't follow your link. But why are you removing the school's official website to put an other one instead?   ,"This is not spamming, this is perfectly valid. I am not advertising anything.",0,0.10710000000000001
100743716.25735.25735,"I always hear about ""Archduke Ferdinand"" while the location is mentioned only afterward. Sometimes the location isn't mentioned at all. I'm referring to history books, documentaries, and such. ",'''Oppose'''. Assassination in Sarajevo is more commonplace. ,0,0.0517
100746655.2975.2975,"University's library will be a good choice. After finals, I will scan the article to find the weak points so I can borrow books from library according to my findings. See you, ","You might need to visit a library and get some real data; the text is full of &*^%$ I'm not a citizen of Istanbul, just familiarity, so I did not feel like correcting. ",0,0.1271
100962887.9286.9286,Not in the cooler he didnt 8-(,"And remember when Steve McQueen was in action he had a whistle and a smile. Plus, you get to ride the motorbike at the end!  ",0,0.0434
101005785.40407.39913,Can the article say WHY this place is famous? ++: /,"...that famous Manhattan, New York landmark '''Nuyorican Poets Cafe''' began in 1973 in the apartment living room of one of its co-founders? (self nom; 1727 characters)  ",0,0.0411
101050745.66700.66699,I filed an informal request for comment at WP:RS. -  //WRE),"Keep tryingthe more you learn about the subject, the more you will be able to contribute to the article. Start with the notable Barrington residents, by reading the articles about them.-",0,0.1303
101082645.8710.8710,P.S. See also  for information on how to differentiate with respect to a vector. ,"It follows from the fact that , and . ",0,0.0501
101093734.242386.242386,All the primary sources (patristic evidence) and the overwhelming majority of secondary sources (which include some of the scholars you rely on) assert the primacy of Jesus in the eyes of Ebionites since they viewed him as the Messiah regardless of how they defined the concept. ,The primacy of Jesus' role w.r.t. the Ebionites is also speculation.  ,0,0.0049
101122087.41290.41290,"I've thought about it, and I can't think of anything better and more concise than ""Disused dinosaur names"", unless we want to go longer, like ""Dinosaur names not in scientific usage."" ","O.K. I'll sleep on it, and see if I come up with anything more scientific. ",0,0.0898
10133727.36242.36242,"I'm using IE.  The chart without lines is unreadable because the columns don't line up.  The ""extra columns"" are not redundant and they are useful information and should stay.","What browser are you using Jon? Works fine in Opera and Netscape. The wide grided version conflicted with the image in Netscape. Grid lines - esp. wide ones - are an unnecesary distraction for a short table. Extra columns redundat and not needed, see above discussion, -",0,0.1198
101375242.13254.13254," Well, it should. I will fix that. ", It doesnt say so anywhere in Planckian locus ,0,0.0377
101534015.39871.39871," copyrights stated on both pages, artukraine site is selling such photos, so it can't be used. ",Can you elaborate? I do not see copyvio here. ,0,0.0567
101603357.15248.15248,"Thanks, I've opened an advocacy request there. Also, thank you for trying your best to mediate. I see no fault in any of your actions. Thank you for blanking the accusations against me when closing the case. ",The WP:AMA provides advocacy.  ,0,0.0957
101633737.22780.22780,"Can you provide citation for the  I added in Astadiggajas.I have added
the source reference for this tagged page. (Prof Sastri).thanks.",I see you have done a good job here. We need to continute to work on this page and make it exemplery.thanks.,0,0.014400000000000001
101704868.15963.15963,72.138.191.63 this isn't a shouting contest. we need to treat one another with respect despite our disagreements. ,well done! ,0,0.1654
